Academic,"Arts, Media, and Publications",Athletic and Recreation,Campus Governance,Career and Professional,Common Interest,Community Building,Cultural and Identity,"Environmental, Science, and Technology","Faith, Religion, and Spirituality",Personal Development and Wellbeing,Political,Service and Social Action
,Duke Medical Ethics Journal,Club Womxn's Ultimate Frisbee,,Duke Association for Business Oriented Women,Duke Students Demand Action,Center for Muslim Life,Duke Chinese Student Association,,,Team One Love at Duke,The Alexander Hamilton Society,Devil Dialogues
,Duke MEM Finance Club,Dive In Durham,,Duke Business Society,Duke Undergraduate Quantum Information Society,Center for Sexual and Gender Diversity,Duke Chinese Theater,,,Transfer Students Union,,DevilTHON: Duke Dance Marathon
,Duke Philosophy Society,Duke Athletics,,Duke Chapter of the American Mock World Health Organization,Duke University Chess Club,Chi Omega,Duke Disability Alliance,,,Wellness Advocates,,Diverse and Inclusive Community for the Environment
,Duke Psychology Majors Union,Duke Barbell Club,,Duke Consulting Club,Duke University Environmental Justice Network,Chi Psi,Duke Diya (South Asian Students Association),,,,,Doctors Without Borders-Duke
,Duke QuestBridge Chapter,Duke Club Fishing,,Duke Cyber,Duke University Stand-up Troupe,Counseling and Psychological Services,Duke Ethiopian/Eritrean Student Transnational Association,,,,,Duke After-School Programs Involving Recreational Enrichment
,Duke Quiz Bowl,Duke Club Triathlon,,Duke Emergency Nursing Students,DUU Duke @ Nite,Dean of Students,Duke German Club,,,,,Duke Anti-Racism Book Club
,Duke Rec & PE,Duke Dancing Devils,,Duke Health Occupations Students of America,"Environmental Communication, Outreach, and Education",Delta Delta Delta,Duke Low-Income First-Generation Engagement (DukeLIFE),,,,,Duke Athlete Ally
,Duke Research Scholars Program,Duke League of Legends,,Duke Hyperloop Club,"Femme, Trans and Women's Health Organization",Delta Gamma,Duke Medical Chinese,,,,,Duke Best Buddies
,Duke Restructuring Group,Duke MMA,,Duke Innovation & Entrepreneurship Initiative,Global Education Office,Delta Kappa Epsilon,Duke Persian Students Association,,,,,Duke Children's Ambassadors Program
,Duke Robotics Club,Duke Quidditch,,Duke Investment Club,Google Developer Student Club - Duke,"Delta Sigma Theta Sorority, Inc.",Duke Sangeet,,,,,Duke China Care
,Duke SOM Medical Engineering Interest Group,Duke Rec & PE,,Duke Marketing Club,Graduate Student Parents at Duke,Delta Tau Delta,Duke Southeast Asian Students Association,,,,,Duke Collegiate 100 Black Men
,Duke Student Global Health Review,Duke Rugby,,Duke MBA Armed Forces Association - Fuqua School of Business,Green Roof and Orchard Workforce,DEMAN,Duke Students with Interracial Legacies,,,,,Duke Conservation Society
